Linespeed,Extrspeed_1,Extrtemp_1,Extrtempbarr_1_1,Extrpressure_1_1,Extrpressure_1_2,Extrtempstock_1,PLCtime
21.27899,5.498138,70.08289,42.1289,18.48597,41.82581,88.2,2004/10/23 11:07
20.28009,7.369019,69.95557,45.85973,21.68692,46.85149,88.3,2004/10/23 11:06
20.13654,7.366974,69.94476,44.37809,21.63629,46.33247,88.2,2004/10/23 11:05
20.36981,7.369019,70.10267,42.21057,21.72309,45.94003,88.2,2004/10/23 11:04
20.41766,7.369019,69.98849,45.74596,21.74479,45.5476,88.2,2004/10/23 11:03
20.33093,7.366974,69.9156,44.2464,21.66522,45.97801,88.2,2004/10/23 11:02
20.42664,7.366974,70.05025,42.40878,21.75564,46.95277,88.2,2004/10/23 11:01
20.42365,7.369019,70.04515,45.62909,21.71224,46.97808,88.3,2004/10/23 11:00
20.30701,7.366974,69.90708,44.14651,21.65437,46.5097,88.2,2004/10/23 10:59
20.39374,7.369019,70.00654,42.4498,21.70862,45.96535,88.3,2004/10/23 10:58
20.30402,7.369019,70.05235,45.53082,21.72671,45.49696,88.3,2004/10/23 10:57
20.35187,7.366974,69.924,44.09344,21.58565,45.66153,88.2,2004/10/23 10:56
20.4057,7.366974,69.98421,42.60512,21.62905,46.63628,88.2,2004/10/23 10:55
20.36981,7.369019,70.07964,45.49153,21.61097,46.82617,88.2,2004/10/23 10:54
20.29504,7.369019,69.96556,44.1005,21.50969,46.3831,88.2,2004/10/23 10:53
20.39673,7.366974,69.93821,42.74,21.52416,45.90205,88.2,2004/10/23 10:52
20.33392,7.369019,70.08497,45.4517,21.5965,45.44633,88.2,2004/10/23 10:51
20.29803,7.366974,69.94488,44.13342,21.62182,45.53494,88.10001,2004/10/23 10:50
20.42365,7.366974,69.9362,42.91827,21.6399,46.56033,88.10001,2004/10/23 10:49
20.32794,7.369019,70.11543,45.38286,21.6399,46.92744,88.00001,2004/10/23 10:48
20.25916,7.369019,69.98127,44.10641,21.65437,46.77554,87.90001,2004/10/23 10:47
20.19336,7.366974,69.91339,43.27104,21.86777,46.63628,87.7,2004/10/23 10:46
20.0827,7.369019,70.03561,45.4054,21.48076,45.63622,87.4,2004/10/23 10:45
20.31,7.366974,70.05594,43.97991,21.5531,45.66153,87.1,2004/10/23 10:44
20.44757,6.708588,69.90205,42.75588,20.76461,45.15517,87.1,2004/10/23 10:43
20.37579,6.708588,70.02367,45.46117,20.71398,44.49689,87,2004/10/23 10:42
20.28009,6.710632,70.05766,43.96712,20.74291,44.35764,87,2004/10/23 10:41
20.31,6.710632,69.9502,42.20638,20.70313,44.75007,87.1,2004/10/23 10:40
20.34589,6.708588,69.93301,45.55897,20.69951,45.02857,87.1,2004/10/23 10:39
20.2771,6.708588,70.08269,44.04453,20.81525,45.58558,87.1,2004/10/23 10:38
20.29803,6.708588,70.01237,42.13845,20.83333,45.95269,87,2004/10/23 10:37
20.49243,6.710632,69.90804,45.65152,20.79716,45.96535,87,2004/10/23 10:36
20.45056,6.708588,70.03872,44.15539,20.78631,45.77546,87.1,2004/10/23 10:35
20.22925,6.710632,70.06418,42.0506,20.80078,45.23112,87,2004/10/23 10:34
20.33392,6.708588,69.92469,45.74994,20.65249,44.3703,87,2004/10/23 10:33
20.25916,6.710632,69.95419,44.27354,20.77546,44.45892,86.9,2004/10/23 10:32
20.21729,6.710632,70.09061,42.05761,20.79716,44.6488,87,2004/10/23 10:31
20.42664,6.710632,69.96098,45.76128,20.88035,45.23112,87,2004/10/23 10:30
20.36383,6.708588,69.91468,44.34401,20.81886,45.48431,86.9,2004/10/23 10:29
20.54626,6.708588,70.0621,41.9362,20.86589,45.8894,87,2004/10/23 10:28
20.39374,6.710632,70.05546,45.74932,20.79716,45.99067,86.9,2004/10/23 10:27
20.41467,6.708588,69.89661,44.492,20.81525,46.02865,86.7,2004/10/23 10:26
20.25317,6.708588,69.98869,41.83688,20.75014,45.63622,86.9,2004/10/23 10:25
20.2771,6.708588,70.12484,45.78203,20.98524,45.34505,86.8,2004/10/23 10:24
20.21729,6.710632,69.95768,44.71506,20.85504,44.62348,86.7,2004/10/23 10:23
20.25018,6.710632,69.91367,41.67973,20.97801,44.90199,86.4,2004/10/23 10:22
20.25317,6.710632,70.09541,45.76747,20.87312,45.05389,86.4,2004/10/23 10:21
20.29803,6.37735,70.0463,44.98981,20.21484,44.90199,86.3,2004/10/23 10:20
20.30103,6.379395,69.90691,41.7015,20.22569,45.24378,86.3,2004/10/23 10:19
20.27112,6.37735,70.03,45.79134,20.25463,44.47157,86.2,2004/10/23 10:18
20.27411,6.379395,70.08388,45.22177,20.27271,43.86393,86.3,2004/10/23 10:17
20.42065,6.37735,69.96255,41.98129,20.27995,45.14251,86.2,2004/10/23 10:16
20.18738,6.379395,69.88599,45.76311,20.22931,45.25644,86.3,2004/10/23 10:15
20.03784,6.37735,70.11262,45.31564,20.32335,44.53487,86.2,2004/10/23 10:14
20.19635,6.379395,70.02617,42.53327,20.17506,43.81329,86.2,2004/10/23 10:13
20.25018,6.37735,69.88225,45.7839,20.21123,45.21846,86.2,2004/10/23 10:12
20.16046,6.37735,69.993,45.26775,20.15336,45.04123,86.10001,2004/10/23 10:11
20.22925,6.381439,70.12405,43.38935,20.21484,44.24371,86.10001,2004/10/23 10:10
20.02887,6.268982,69.95797,45.78314,20.12442,43.76266,86,2004/10/23 10:09
20.14252,6.268982,69.88394,45.23997,19.95804,43.53479,86,2004/10/23 10:08
20.31598,6.266937,70.12624,43.71392,19.98698,43.49682,86,2004/10/23 10:07
20.09467,6.268982,70.03459,43.76948,20.06293,43.73734,86,2004/10/23 10:06
20.02588,6.266937,69.88621,45.34673,19.99421,43.93989,86,2004/10/23 10:05
20.22327,6.268982,69.9855,43.79592,20.00506,44.25636,86,2004/10/23 10:04
20.1156,6.268982,70.11916,42.11378,20.05932,44.69943,86,2004/10/23 10:03
20.25018,6.268982,69.94627,45.58293,20.00145,44.81337,85.9,2004/10/23 10:02
20.37579,6.266937,69.92294,44.0435,19.84592,44.75007,85.9,2004/10/23 10:01
20.26215,6.268982,70.09247,41.87643,20.06655,45.19315,85.9,2004/10/23 10:00
20.24719,6.268982,70.02907,45.71446,20.0991,45.31973,85.9,2004/10/23 9:59
20.26215,6.268982,69.89176,44.44566,20.10995,45.30708,85.9,2004/10/23 9:58
20.16943,6.266937,69.98853,41.75774,20.05932,45.05389,85.8,2004/10/23 9:57
20.09167,6.268982,70.14287,45.74967,19.96166,44.86401,85.8,2004/10/23 9:56
20.20831,6.268982,69.94949,44.86928,20.0774,44.90199,85.8,2004/10/23 9:55
20.35187,6.266937,69.89188,41.53242,20.13889,44.88932,85.7,2004/10/23 9:54
20.19037,6.266937,70.08495,45.76955,19.94719,44.38296,85.8,2004/10/23 9:53
19.98999,6.266937,70.07028,45.17249,19.98336,44.25636,85.7,2004/10/23 9:52
20.44458,6.266937,69.86923,42.40103,19.96166,44.11712,85.7,2004/10/23 9:51
20.25018,6.271027,69.96027,45.77696,20.05208,44.04116,85.7,2004/10/23 9:50
20.25916,6.268982,70.14703,45.18047,19.91464,43.72468,85.6,2004/10/23 9:49
20.24121,6.268982,69.95314,43.4356,19.99421,43.75,85.7,2004/10/23 9:48
20.44757,6.268982,69.90362,45.75838,20.01953,43.66138,85.5,2004/10/23 9:47
20.16345,6.160614,70.0974,45.27179,19.60359,43.24363,85.5,2004/10/23 9:46
20.17242,6.160614,70.06389,43.81386,19.59636,43.69936,85.4,2004/10/23 9:45
20.29803,6.158569,69.88731,44.30393,19.5421,44.24371,85.4,
20.18439,6.160614,69.99091,45.33053,19.58189,44.68678,85.5,
20.32794,6.160614,70.09509,43.9489,19.64699,44.6488,85.4,
20.20532,6.158569,70.00929,42.79813,19.69401,43.81329,85.4,
20.28906,6.160614,69.84739,45.48118,19.59997,43.16768,85.4,
20.22028,6.160614,70.08194,43.95292,19.7121,43.80064,85.3,
20.07373,6.158569,70.0705,42.10411,19.59274,44.24371,85.2,
20.03784,6.160614,69.86436,45.64897,19.62167,44.82603,85.2,
19.96008,6.158569,70.01511,44.19002,19.59636,44.48423,85,
20.15149,6.160614,70.1204,41.78589,19.62891,43.53479,84.9,
19.9212,5.939789,69.97153,45.70873,19.10084,43.86393,84.9,
19.92419,5.937744,69.8856,44.80293,19.06829,42.48409,84.9,
20.25916,5.939789,70.10088,41.56449,19.06467,44.04116,84.7,
20.07074,5.939789,70.08449,45.74853,19.16233,43.1297,84.7,
19.88531,5.939789,69.88082,45.17726,19.08275,43.64873,84.7,
19.7597,5.937744,69.96435,42.56078,19.06467,43.54745,84.7,
19.75073,5.939789,70.12716,45.74968,19.2853,42.95247,84.60001,
19.90027,5.939789,69.98804,45.17799,19.15871,44.21839,84.4,
