Extrspeed_2,Extrtemp_2,Extrtempbarr_2_1,Extrtempbarr_2_2,Extrpressure_2_1,Extrpressure_2_2,Extrtempstock_2,PLCtime
19.80286,64.72893,48.07814,61.06451,42.87109,50.85358,112.4,2004/10/23 11:07
24.19708,64.72111,51.35813,60.33286,45.69227,54.19198,111.2,2004/10/23 11:06
24.19922,64.73124,50.89591,58.2958,45.95631,54.35474,110.7,2004/10/23 11:05
24.20135,64.71081,48.7127,61.07571,46.14077,55.34577,113,2004/10/23 11:04
24.20135,64.70525,49.45546,60.41081,45.78631,53.69647,112.4,2004/10/23 11:03
24.19495,64.74442,51.51889,58.43515,45.63802,54.18837,111.3,2004/10/23 11:02
24.19922,64.74538,50.07583,61.08392,46.15162,54.05816,110.7,2004/10/23 11:01
24.19495,64.77773,47.9397,60.51553,45.61632,54.48495,111.5,2004/10/23 11:00
24.19708,64.80646,51.19985,58.6356,46.35416,55.04196,113.2,2004/10/23 10:59
24.19922,64.86383,50.93783,61.09563,46.27098,54.96238,112.1,2004/10/23 10:58
24.19922,64.89515,48.78499,60.53564,45.94184,54.03646,110.6,2004/10/23 10:57
24.19922,64.97205,49.48796,58.66753,46.30353,54.27517,112.5,2004/10/23 10:56
24.19708,64.99012,51.46798,61.03666,46.52778,55.71109,113.5,2004/10/23 10:55
24.20349,65.04495,49.95617,60.6178,46.16609,54.30411,111.5,2004/10/23 10:54
24.19922,65.07952,48.00622,58.87278,46.41927,55.46513,109.9,2004/10/23 10:53
24.20135,65.10984,51.32939,61.09354,46.84968,55.09983,109.2,2004/10/23 10:52
24.18854,65.10839,50.89384,60.6674,47.07755,56.41637,114.1,2004/10/23 10:51
24.19922,65.13704,48.68803,58.9048,45.10995,52.91522,113,2004/10/23 10:50
24.19922,65.10381,49.43566,61.03017,47.25477,56.40553,112.5,2004/10/23 10:49
24.19495,65.07294,51.52149,60.72902,47.16435,56.54297,114.1,2004/10/23 10:48
24.19495,65.04204,50.00918,58.85581,47.91305,56.85402,115.6,2004/10/23 10:47
